title,price,rating,oprice,brand
Analog White Dial Men's Watch-TW000U933  ,"1,598",4.1,"₹1,598",TIMEX
Lionmati Avenger Spiderman Theme Edition Wrist Kids Watch for Boys and Girls Multicolored 3D Disco Led Light Up Boys Watch with Soft Strap and Waterproof Girls Watch Birthday Kids Gifts for Boys  ,299,New to Amazon,₹299,Lionmati
Reflex Vox Smartwatch|Alexa Built-in|Bright HD Display|Upto 10 Days Battery|5 ATM Water Resistance|Multiple Sports Modes|100+ Watchfaces|24x7 HRM|Sp02|Stress Monitor|Camera & Music Control  ,"1,994",3.9,"₹1,994",Fastrack
"Digital Watch for Men's & Boy's (Multicolored Silver Dial, Black Colored Strap)  ",419,3.8,₹419,Emartos
"DIZO Watch D2 Power (by realme TechLife) – Large 1.91"" Superlight, Single Chipset Bluetooth Calling Smartwatch with Smart Swipe, 150+Stylish Watch Faces and 10 Day Battery (Steel Grey)  ","1,799",3.7,"₹1,799",DIZO
The Watch (Red Book 1)  ,446,4.5,₹446,Amanda Witt
Analog White Dial Men's Watch-TW000U933  ,"1,598",4.1,"₹1,598",TIMEX
NOVA Skeleton Automatic Watch Mechanical Wrist Watch for Men Bezel Screw Design Silicone Band Self-Wind Business Watch for Men  ,"3,490",4.2,"₹3,490",ALTURA
"Talk S with 1.78"" AMOLED Display|Advanced BT Calling|Music Storage with Wireless Audio Connect|100+ Sports Modes|Animated Watchfaces|5 Days Battery|IP68 Water Resistant|Stress & Mood Monitor  ","8,994",4.0,"₹8,994",Titan
Analog White Dial Men's Watch-HB611251ABR  ,"7,440",4.1,"₹7,440",Mathey-Tissot
"Noise ColorFit Pro 4 Max 1.8"" Biggest Display, Bluetooth Calling Smart Watch, Built.in Alexa, 100 Sports Modes, Detection, Health & Productivity Suite (Jet Black)  ","3,999",4.0,"₹3,999",Noise
Analogue White Slim Dial Luxurious Blue/Red Fabric Strap Fashion Men's Wrist Watch  ,269,3.7,₹269,FRIEDRICH
"Maxima Max Pro X4+ Rugged Bluetooth Calling Smart Watch 1.32"" Round Always on Premium Display with 360x360 px Resolution, AI Voice Assitant, Advance UI, 340 mah Big Battery, HR/SpO2, 150+ Watch Faces  ","2,499",3.7,"₹2,499",
Bikers Analog White Dial Men's Watch-NL3022SL01/NP3022SL01  ,"3,595",4.2,"₹3,595",Fastrack
"Prolet 20mm Nylon Sport Replacement Bands and Loop Compatible With (ONLY 20mm Lugs Size) Amazfit GTS 2 Mini, Amazfit Bip,Amazfit GTS,Samsung Galaxy Watch 4/ Watch 5-(Black)  ",299,4.1,₹299,Prolet
Black dial-case and Black Leather Watch for Men Pack of - 1  ,245,3.4,₹245,Acnos
Analog White Dial Men's Watch-FS4795  ,"13,495",4.4,"₹13,495",Fossil
Brand A Army Shockproof Waterproof Digital Sports Black Sunglass with Black Baseball Cap Watch for Mens Kids Sports Watch with Cap for Boys - Military Army Watch for Men  ,321,3.7,₹321,SELLORIA
Analog Silver Dial Men's Watch-NL1644YM01/NP1644YM01  ,"1,895",4.2,"₹1,895",Titan
Analog-Digital Gold Round Dial Men's Casual Watch-77070PP08  ,"2,899",3.7,"₹2,899",SF
Chronograph Men's Watch (Black Dial)  ,"12,995",4.3,"₹12,995",Armani Exchange
"IMOO Watch Phone Z1 Kids Smart Watch, 4G Kids Smartwatch Phone with Long-Lasting Video & Phone Call, Kids GPS Watch with Real-time Locating & IPX8 Water-Resistance (Pink)  ","9,990",4.3,"₹9,990",IMOO
Shhors Collection Quartz Movement Digital Black Dial Sports Alarm Unisex Watch  ,283,4.1,₹283,Primeshop
Casual Analog Navy Blue Dial Men's Watch NM3120SM02/NN3120SM02/NP3120SM02  ,"1,580",4.3,"₹1,580",Fastrack
Edifice Men's Tachymeter Chronograph EF-558SG-1AVDF (ED439)  ,"15,994",4.4,"₹15,994",Casio
Analog Blue Dial Men's Watch-AX2529  ,"7,995",New to Amazon,"₹7,995",Armani Exchange
Karishma Revive Analog Silver Dial Women's Watch-NL2594BM01  ,"1,955",4.3,"₹1,955",Titan
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 284 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt
Chronograph Design Multi Analog Combo Watches for Men and Watches for Boys Pack of 3  ,355,3.5,₹355,Acnos
Super Fibre Digital Grey Dial Men's Watch-NL87011PP04/NP87011PP04  ,600,4.2,₹600,Sonata
Digital Watch with Square Led Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 2  ,370,3.3,₹370,FROZIL
Riley Analog White & Beige Dial Women's Watch -ES3466  ,"11,995",4.6,"₹11,995",Fossil
IZU Kids Cartoon Character Waterproof Superhero Theme Waterproof Touch Button Silicone Smart Digital LED Band Bracelet Watch (Black) -Pack of 4  ,499,3.2,₹499,IZU
Formal Analog Black Dial Men's Watch NM7924NM01/NN7924NM01  ,"1,725",4.2,"₹1,725",Sonata
Analog Blue Dial Women's Watch-NL2574SM01/NP2574SM01  ,"1,795",4.3,"₹1,795",Titan
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" Display, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Midnight Blue)  ","1,699",4.1,"₹1,699",Noise
Blue Dial Blue Case Leather Date and Time Watch Combo for Pack of - 1  ,329,3.4,₹329,Acnos
"Fire-Boltt Ring Bluetooth Calling Smartwatch with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces (Blue)  ","2,299",4.1,"₹2,299",Fire-Boltt
Boy's Avenger Printed Analog Watch and King Bracelet Combo (Black)  ,249,3.6,₹249,CERO
